"age","sex","ethhuk11","n"
74,1,5,1
74,1,6,6
74,1,7,8
74,2,2,481
74,2,3,7
74,2,4,19
74,2,5,4
74,2,6,30
74,2,7,31
74,2,8,5
75,1,2,147
75,1,3,5
75,1,4,4
75,1,6,6
75,1,7,6
75,1,8,1
75,2,2,462
75,2,3,22
75,2,4,15
75,2,5,6
75,2,6,37
75,2,7,26
75,2,8,7
76,1,2,166
76,1,3,2
76,1,5,4
76,1,6,9
76,1,7,7
76,1,8,3
76,2,2,456
76,2,3,17
76,2,4,10
76,2,5,6
76,2,6,23
76,2,7,27
76,2,8,4
77,1,2,143
77,1,3,4
77,1,4,5
77,1,5,1
77,1,6,6
77,1,7,9
77,1,8,1
77,2,2,498
77,2,3,10
77,2,4,12
77,2,5,6
77,2,6,26
77,2,7,16
77,2,8,1
78,1,2,149
78,1,3,4
78,1,4,2
78,1,6,3
78,1,7,4
78,2,2,500
78,2,3,17
78,2,4,9
78,2,5,4
78,2,6,15
78,2,7,32
78,2,8,3
79,1,2,172
79,1,3,4
79,1,4,6
79,1,5,1
79,1,6,9
79,1,7,6
79,2,2,477
79,2,3,12
79,2,4,20
79,2,5,1
79,2,6,28
79,2,7,17
79,2,8,1
80,1,2,135
80,1,3,3
80,1,4,1
80,1,6,7
80,1,7,9
80,1,8,2
80,2,2,463
80,2,3,15
80,2,4,14
80,2,5,5
80,2,6,31
80,2,7,30
80,2,8,8
81,1,2,138
81,1,3,4
81,1,4,3
81,1,6,6
81,1,7,7
81,2,2,511
81,2,3,20
81,2,4,16
81,2,5,2
81,2,6,15
81,2,7,17
81,2,8,2
82,1,2,122
82,1,3,2
82,1,4,2
82,1,5,2
82,1,6,6
82,1,7,5
82,2,2,503
82,2,3,14
82,2,4,16
82,2,5,1
82,2,6,15
82,2,7,20
82,2,8,2
83,1,2,128
83,1,3,5
83,1,4,4
83,1,6,5
83,1,7,5
83,2,2,494
83,2,3,23
83,2,4,19
83,2,5,1
83,2,6,14
83,2,7,14
83,2,8,3
84,1,2,141
84,1,3,10
84,1,5,1
84,1,6,4
84,1,7,2
84,1,8,1
84,2,2,475
84,2,3,16
84,2,4,18
84,2,5,3
84,2,6,15
84,2,7,19
84,2,8,3
85,1,2,151
85,1,3,6
85,1,4,4
85,1,6,6
85,1,7,9
85,2,2,553
85,2,3,12
85,2,4,13
85,2,5,1
85,2,6,10
85,2,7,9
85,2,8,1
86,1,2,768
86,1,3,19
86,1,4,16
86,1,5,6
86,1,6,19
86,1,7,15
86,1,8,1
86,2,2,2792
86,2,3,82
86,2,4,61
86,2,5,12
86,2,6,54
86,2,7,28
86,2,8,9
