"age","sex","ethhuk11","n"
58,1,6,613
58,1,7,193
58,1,8,91
58,2,2,6423
58,2,3,110
58,2,4,241
58,2,5,56
58,2,6,294
58,2,7,211
58,2,8,39
59,1,2,10799
59,1,3,159
59,1,4,261
59,1,5,75
59,1,6,667
59,1,7,172
59,1,8,86
59,2,2,6402
59,2,3,121
59,2,4,195
59,2,5,55
59,2,6,308
59,2,7,204
59,2,8,33
60,1,2,10839
60,1,3,179
60,1,4,240
60,1,5,70
60,1,6,511
60,1,7,144
60,1,8,87
60,2,2,6340
60,2,3,131
60,2,4,201
60,2,5,60
60,2,6,259
60,2,7,181
60,2,8,39
61,1,2,10743
61,1,3,151
61,1,4,284
61,1,5,52
61,1,6,489
61,1,7,142
61,1,8,77
61,2,2,6181
61,2,3,106
61,2,4,204
61,2,5,50
61,2,6,275
61,2,7,169
61,2,8,29
62,1,2,11156
62,1,3,157
62,1,4,227
62,1,5,47
62,1,6,438
62,1,7,111
62,1,8,61
62,2,2,6273
62,2,3,139
62,2,4,208
62,2,5,60
62,2,6,268
62,2,7,143
62,2,8,32
63,1,2,11194
63,1,3,190
63,1,4,230
63,1,5,49
63,1,6,364
63,1,7,118
63,1,8,49
63,2,2,6459
63,2,3,109
63,2,4,164
63,2,5,46
63,2,6,243
63,2,7,128
63,2,8,32
64,1,2,12181
64,1,3,182
64,1,4,197
64,1,5,47
64,1,6,353
64,1,7,94
64,1,8,47
64,2,2,7037
64,2,3,119
64,2,4,168
64,2,5,42
64,2,6,227
64,2,7,117
64,2,8,26
65,1,2,12411
65,1,3,164
65,1,4,185
65,1,5,44
65,1,6,267
65,1,7,77
65,1,8,38
65,2,2,7259
65,2,3,154
65,2,4,182
65,2,5,54
65,2,6,195
65,2,7,152
65,2,8,26
66,1,2,9197
66,1,3,164
66,1,4,175
66,1,5,48
66,1,6,252
66,1,7,73
66,1,8,38
66,2,2,5320
66,2,3,114
66,2,4,132
66,2,5,46
66,2,6,148
66,2,7,105
66,2,8,25
67,1,2,9821
67,1,3,168
67,1,4,155
67,1,5,47
67,1,6,266
67,1,7,81
67,1,8,43
67,2,2,5854
67,2,3,100
67,2,4,144
67,2,5,30
67,2,6,143
67,2,7,119
67,2,8,26
68,1,2,9385
68,1,3,156
68,1,4,152
68,1,5,49
68,1,6,247
68,1,7,74
68,1,8,25
68,2,2,5770
68,2,3,143
68,2,4,134
68,2,5,44
68,2,6,140
68,2,7,120
68,2,8,22
69,1,2,8954
69,1,3,154
69,1,4,132
69,1,5,52
69,1,6,214
69,1,7,117
69,1,8,31
69,2,2,5577
69,2,3,159
69,2,4,111
69,2,5,38
69,2,6,132
69,2,7,127
69,2,8,16
70,1,2,7555
70,1,3,161
70,1,4,140
70,1,5,26
70,1,6,205
70,1,7,88
70,1,8,24
70,2,2,4877
70,2,3,137
70,2,4,122
70,2,5,31
70,2,6,135
70,2,7,119
70,2,8,21
71,1,2,7227
71,1,3,150
71,1,4,97
71,1,5,24
71,1,6,221
71,1,7,124
71,1,8,27
71,2,2,5176
71,2,3,131
71,2,4,118
71,2,5,19
71,2,6,136
71,2,7,122
71,2,8,14
72,1,2,7328
72,1,3,167
72,1,4,114
72,1,5,25
72,1,6,225
72,1,7,110
72,1,8,29
72,2,2,5175
72,2,3,128
72,2,4,104
72,2,5,29
72,2,6,128
72,2,7,132
72,2,8,17
73,1,2,7382
73,1,3,147
73,1,4,130
73,1,5,33
73,1,6,220
73,1,7,122
73,1,8,22
73,2,2,5189
73,2,3,142
73,2,4,130
73,2,5,23
73,2,6,128
73,2,7,97
73,2,8,17
74,1,2,7417
74,1,3,135
74,1,4,113
74,1,5,32
74,1,6,250
74,1,7,114
74,1,8,19
74,2,2,5216
74,2,3,144
74,2,4,118
74,2,5,22
74,2,6,115
74,2,7,130
74,2,8,14
75,1,2,7328
75,1,3,141
75,1,4,125
75,1,5,41
75,1,6,230
75,1,7,114
75,1,8,21
75,2,2,5213
75,2,3,130
75,2,4,131
75,2,5,26
75,2,6,126
75,2,7,118
75,2,8,16
76,1,2,6099
76,1,3,89
76,1,4,86
76,1,5,26
76,1,6,150
76,1,7,84
76,1,8,21
76,2,2,5344
76,2,3,131
76,2,4,99
76,2,5,23
76,2,6,91
76,2,7,87
76,2,8,11
77,1,2,6110
77,1,3,129
77,1,4,83
77,1,5,23
77,1,6,164
77,1,7,113
77,1,8,17
77,2,2,5318
77,2,3,138
77,2,4,91
77,2,5,29
77,2,6,101
77,2,7,83
77,2,8,8
78,1,2,6002
78,1,3,109
78,1,4,78
78,1,5,34
78,1,6,174
78,1,7,77
78,1,8,18
78,2,2,5415
78,2,3,131
78,2,4,100
78,2,5,19
78,2,6,91
78,2,7,103
78,2,8,11
79,1,2,6059
79,1,3,117
79,1,4,84
79,1,5,24
79,1,6,177
79,1,7,97
79,1,8,14
79,2,2,5359
79,2,3,121
79,2,4,95
79,2,5,20
79,2,6,105
79,2,7,91
79,2,8,10
80,1,2,6019
80,1,3,110
80,1,4,78
80,1,5,30
80,1,6,176
80,1,7,91
80,1,8,15
80,2,2,5429
80,2,3,115
80,2,4,106
80,2,5,32
80,2,6,93
80,2,7,85
80,2,8,10
81,1,2,4317
81,1,3,66
81,1,4,67
81,1,5,14
81,1,6,83
81,1,7,51
81,1,8,9
81,2,2,5217
81,2,3,108
81,2,4,105
81,2,5,19
81,2,6,57
81,2,7,66
81,2,8,11
82,1,2,4352
82,1,3,64
82,1,4,72
82,1,5,15
82,1,6,79
82,1,7,51
82,1,8,5
82,2,2,5107
82,2,3,82
82,2,4,110
82,2,5,14
82,2,6,49
82,2,7,66
82,2,8,9
83,1,2,4257
83,1,3,80
83,1,4,73
83,1,5,14
83,1,6,83
83,1,7,44
83,1,8,6
83,2,2,5155
83,2,3,104
83,2,4,115
83,2,5,12
83,2,6,46
83,2,7,61
83,2,8,11
84,1,2,4096
84,1,3,71
84,1,4,60
84,1,5,23
84,1,6,92
84,1,7,34
84,1,8,7
84,2,2,5018
84,2,3,101
84,2,4,104
84,2,5,17
84,2,6,45
84,2,7,58
84,2,8,12
85,1,2,4322
85,1,3,54
85,1,4,81
85,1,5,8
85,1,6,74
85,1,7,54
85,1,8,13
85,2,2,5242
85,2,3,113
85,2,4,99
85,2,5,13
85,2,6,44
85,2,7,49
85,2,8,9
86,1,2,15231
86,1,3,199
86,1,4,333
86,1,5,59
86,1,6,192
86,1,7,116
86,1,8,28
86,2,2,28122
86,2,3,450
86,2,4,464
86,2,5,57
86,2,6,189
86,2,7,130
86,2,8,39
