"Sex","Age","Ethnicity","Rate"
"M",66,"MIX",0.020747009
"M",67,"MIX",0.022819427
"M",68,"MIX",0.027145305
"M",69,"MIX",0.030445625
"M",70,"MIX",0.031293458
"M",71,"MIX",0.032953703
"M",72,"MIX",0.034969649
"M",73,"MIX",0.038716753
"M",74,"MIX",0.042141039
"M",75,"MIX",0.044031705
"M",76,"MIX",0.048432975
"M",77,"MIX",0.053924899
"M",78,"MIX",0.059449213
"M",79,"MIX",0.059823449
"M",80,"MIX",0.066502753
"M",81,"MIX",0.073927803
"M",82,"MIX",0.082181862
"M",83,"MIX",0.091357489
"M",84,"MIX",0.101557576
"M",85,"MIX",0.16541562
"M",0,"IND",0.003398084
"M",1,"IND",0.000304321
"M",2,"IND",0.000189225
"M",3,"IND",0.00014353
"M",4,"IND",0.000244782
"M",5,"IND",0.000313263
"M",6,"IND",0.000299907
"M",7,"IND",0.000304203
"M",8,"IND",0.000220237
"M",9,"IND",0.000145261
"M",10,"IND",0.000131843
"M",11,"IND",0.000131522
"M",12,"IND",0.00014995
"M",13,"IND",0.000178189
"M",14,"IND",0.000181829
"M",15,"IND",0.000189804
"M",16,"IND",0.000281128
"M",17,"IND",0.0004203
"M",18,"IND",0.000477623
"M",19,"IND",0.00041523
"M",20,"IND",0.000389461
"M",21,"IND",0.000415106
"M",22,"IND",0.000391336
"M",23,"IND",0.00044353
"M",24,"IND",0.000422924
"M",25,"IND",0.000326027
"M",26,"IND",0.000347872
"M",27,"IND",0.000359262
"M",28,"IND",0.000413697
"M",29,"IND",0.000467561
"M",30,"IND",0.000502514
"M",31,"IND",0.00055134
"M",32,"IND",0.000646434
"M",33,"IND",0.00079061
"M",34,"IND",0.000899206
"M",35,"IND",0.000966832
"M",36,"IND",0.000986307
"M",37,"IND",0.00101336
"M",38,"IND",0.001057586
"M",39,"IND",0.001301228
"M",40,"IND",0.001466851
"M",41,"IND",0.001498024
"M",42,"IND",0.001606192
"M",43,"IND",0.001620699
"M",44,"IND",0.001905465
"M",45,"IND",0.00225263
"M",46,"IND",0.002491498
"M",47,"IND",0.002893811
"M",48,"IND",0.00328762
"M",49,"IND",0.0032965
"M",50,"IND",0.003572802
"M",51,"IND",0.00422685
"M",52,"IND",0.004985655
"M",53,"IND",0.006057384
"M",54,"IND",0.007065659
"M",55,"IND",0.007871416
"M",56,"IND",0.008575738
"M",57,"IND",0.009214394
"M",58,"IND",0.00963002
"M",59,"IND",0.010629783
"M",60,"IND",0.012293188
"M",61,"IND",0.013616935
"M",62,"IND",0.014169303
"M",63,"IND",0.013989796
"M",64,"IND",0.015864371
"M",65,"IND",0.019122049
"M",66,"IND",0.020917023
"M",67,"IND",0.023085151
"M",68,"IND",0.027589379
"M",69,"IND",0.030570733
"M",70,"IND",0.031060275
"M",71,"IND",0.032664678
"M",72,"IND",0.034906865
"M",73,"IND",0.038545428
"M",74,"IND",0.041559229
"M",75,"IND",0.043879098
"M",76,"IND",0.048539152
"M",77,"IND",0.053910709
"M",78,"IND",0.059640447
"M",79,"IND",0.059372884
"M",80,"IND",0.065909518
"M",81,"IND",0.073165799
"M",82,"IND",0.081220959
"M",83,"IND",0.090162948
"M",84,"IND",0.100089401
"M",85,"IND",0.136321549
"M",0,"PAK",0.003802679
"M",1,"PAK",0.000309983
"M",2,"PAK",0.000196763
"M",3,"PAK",0.00015536
"M",4,"PAK",0.000231152
"M",5,"PAK",0.000293465
"M",6,"PAK",0.000295949
"M",7,"PAK",0.00031407
"M",8,"PAK",0.000230034
"M",9,"PAK",0.000132966
"M",10,"PAK",0.000112177
"M",11,"PAK",0.000120815
"M",12,"PAK",0.000144893
"M",13,"PAK",0.000156969
"M",14,"PAK",0.000188333
"M",15,"PAK",0.000234664
"M",16,"PAK",0.000342419
"M",17,"PAK",0.00048204
"M",18,"PAK",0.000549386
"M",19,"PAK",0.000501915
"M",20,"PAK",0.000421006
"M",21,"PAK",0.000421577
"M",22,"PAK",0.000422278
"M",23,"PAK",0.000486376
"M",24,"PAK",0.000452844
"M",25,"PAK",0.000349121
"M",26,"PAK",0.000381227
"M",27,"PAK",0.000393827
"M",28,"PAK",0.000456996
"M",29,"PAK",0.000551363
"M",30,"PAK",0.000592181
"M",31,"PAK",0.000625973
"M",32,"PAK",0.000700164
"M",33,"PAK",0.000823824
"M",34,"PAK",0.000941403
"M",35,"PAK",0.001055411
"M",36,"PAK",0.001122757
"M",37,"PAK",0.001149115
"M",38,"PAK",0.001186332
"M",39,"PAK",0.001409838
"M",40,"PAK",0.001575687
"M",41,"PAK",0.001597864
"M",42,"PAK",0.001779818
"M",43,"PAK",0.001811066
"M",44,"PAK",0.002106646
"M",45,"PAK",0.002596652
"M",46,"PAK",0.002880069
"M",47,"PAK",0.003224832
"M",48,"PAK",0.003638051
"M",49,"PAK",0.003689769
"M",50,"PAK",0.003843671
"M",51,"PAK",0.004395133
"M",52,"PAK",0.005222274
"M",53,"PAK",0.006503289
"M",54,"PAK",0.0076559
"M",55,"PAK",0.008520336
"M",56,"PAK",0.009719407
"M",57,"PAK",0.010685457
"M",58,"PAK",0.010947581
"M",59,"PAK",0.011794684
"M",60,"PAK",0.01345043
"M",61,"PAK",0.014959885
"M",62,"PAK",0.01552112
"M",63,"PAK",0.015392174
"M",64,"PAK",0.017557786
"M",65,"PAK",0.021016681
"M",66,"PAK",0.02277963
"M",67,"PAK",0.024825956
"M",68,"PAK",0.029682119
"M",69,"PAK",0.033216625
"M",70,"PAK",0.033737612
"M",71,"PAK",0.03527247
"M",72,"PAK",0.0376309
"M",73,"PAK",0.041688415
"M",74,"PAK",0.044895994
"M",75,"PAK",0.047170243
"M",76,"PAK",0.052206027
"M",77,"PAK",0.057905942
"M",78,"PAK",0.063864715
"M",79,"PAK",0.064060813
"M",80,"PAK",0.070991028
"M",81,"PAK",0.078670967
"M",82,"PAK",0.087181736
"M",83,"PAK",0.096613215
"M",84,"PAK",0.107065008
"M",85,"PAK",0.145053924
"M",0,"BAN",0.003618287
"M",1,"BAN",0.000283981
"M",2,"BAN",0.00018167
"M",3,"BAN",0.000146968
"M",4,"BAN",0.000221483
"M",5,"BAN",0.000328689
"M",6,"BAN",0.00035508
"M",7,"BAN",0.000333495
"M",8,"BAN",0.000274526
"M",9,"BAN",0.00018028
"M",10,"BAN",0.000122158
"M",11,"BAN",0.00013694
"M",12,"BAN",0.000158813
"M",13,"BAN",0.000166552
"M",14,"BAN",0.000183178
"M",15,"BAN",0.000224814
"M",16,"BAN",0.000325389
"M",17,"BAN",0.000507967
"M",18,"BAN",0.000598719
"M",19,"BAN",0.000493187
"M",20,"BAN",0.000416493
"M",21,"BAN",0.000400307
"M",22,"BAN",0.000401863
"M",23,"BAN",0.000450077
"M",24,"BAN",0.000393222
"M",25,"BAN",0.00032971
"M",26,"BAN",0.000343048
"M",27,"BAN",0.000338517
"M",28,"BAN",0.000404583
"M",29,"BAN",0.000468639
"M",30,"BAN",0.000519088
"M",31,"BAN",0.000573268
"M",32,"BAN",0.000637798
"M",33,"BAN",0.000747395
"M",34,"BAN",0.000833712
"M",35,"BAN",0.000910374
"M",36,"BAN",0.00096363
"M",37,"BAN",0.001038206
"M",38,"BAN",0.001113039
"M",39,"BAN",0.001264141
"M",40,"BAN",0.001419341
"M",41,"BAN",0.001535288
"M",42,"BAN",0.001648777
"M",43,"BAN",0.001714758
"M",44,"BAN",0.002097342
"M",45,"BAN",0.002498448
"M",46,"BAN",0.002796521
"M",47,"BAN",0.003066553
"M",48,"BAN",0.003417175
"M",49,"BAN",0.003676242
"M",50,"BAN",0.003900555
"M",51,"BAN",0.00447524
"M",52,"BAN",0.004889846
"M",53,"BAN",0.005896203
"M",54,"BAN",0.007529659
"M",55,"BAN",0.008775959
"M",56,"BAN",0.009635775
"M",57,"BAN",0.010715523
"M",58,"BAN",0.011215077
"M",59,"BAN",0.011722558
"M",60,"BAN",0.013300743
"M",61,"BAN",0.014670146
"M",62,"BAN",0.015354095
