age,agehrp,ethnicityew,ethhuk11,n,samesex
21,22,5,7,2,FALSE
21,22,6,2,1,FALSE
21,22,6,4,1,FALSE
21,22,6,5,1,FALSE
21,22,6,6,10,FALSE
21,22,6,7,1,FALSE
21,22,7,5,2,FALSE
21,22,8,8,2,FALSE
21,23,2,2,259,FALSE
21,23,2,4,3,FALSE
21,23,2,5,6,FALSE
21,23,2,7,1,FALSE
21,23,3,2,1,FALSE
21,23,4,2,5,FALSE
21,23,4,4,16,FALSE
21,23,4,6,1,FALSE
21,23,5,2,2,FALSE
21,23,5,3,1,FALSE
21,23,5,4,1,FALSE
21,23,5,6,1,FALSE
21,23,6,6,8,FALSE
21,23,7,2,1,FALSE
21,23,7,7,2,FALSE
21,23,8,8,3,FALSE
21,24,2,2,196,FALSE
21,24,2,4,3,FALSE
21,24,2,5,6,FALSE
21,24,2,6,1,FALSE
21,24,2,7,3,FALSE
21,24,3,2,1,FALSE
21,24,4,2,4,FALSE
21,24,4,4,17,FALSE
21,24,4,7,1,FALSE
21,24,5,2,6,FALSE
21,24,5,4,2,FALSE
21,24,5,5,1,FALSE
21,24,5,8,1,FALSE
21,24,6,2,1,FALSE
21,24,6,6,9,FALSE
21,24,7,2,2,FALSE
21,24,7,7,1,FALSE
21,24,8,8,1,FALSE
21,25,2,2,166,FALSE
21,25,2,3,1,FALSE
21,25,2,5,1,FALSE
21,25,2,6,1,FALSE
21,25,2,7,1,FALSE
21,25,3,2,1,FALSE
21,25,4,2,3,FALSE
21,25,4,4,10,FALSE
21,25,4,7,1,FALSE
21,25,5,2,5,FALSE
21,25,5,7,1,FALSE
21,25,6,6,1,FALSE
21,25,7,7,2,FALSE
21,25,8,4,1,FALSE
21,25,8,6,1,FALSE
21,25,8,8,1,FALSE
21,26,2,2,126,FALSE
21,26,2,4,1,FALSE
21,26,4,2,4,FALSE
21,26,4,4,5,FALSE
21,26,5,2,2,FALSE
21,26,5,8,1,FALSE
21,26,6,5,1,FALSE
21,26,6,6,6,FALSE
21,26,7,2,1,FALSE
21,26,7,7,3,FALSE
21,26,8,6,1,FALSE
21,26,8,8,1,FALSE
21,27,2,2,104,FALSE
21,27,2,3,1,FALSE
21,27,2,4,3,FALSE
21,27,2,5,1,FALSE
21,27,2,7,1,FALSE
21,27,2,8,1,FALSE
21,27,4,4,8,FALSE
21,27,5,2,1,FALSE
21,27,5,5,1,FALSE
21,27,6,6,7,FALSE
21,27,7,7,2,FALSE
21,28,2,2,71,FALSE
21,28,2,3,1,FALSE
21,28,2,4,3,FALSE
21,28,2,5,1,FALSE
21,28,4,4,5,FALSE
21,28,4,5,1,FALSE
21,28,4,6,1,FALSE
21,28,4,7,1,FALSE
21,28,5,2,2,FALSE
21,28,5,4,1,FALSE
21,28,6,2,1,FALSE
21,28,6,5,1,FALSE
21,28,6,6,8,FALSE
21,28,7,7,1,FALSE
21,28,8,8,1,FALSE
21,29,2,2,56,FALSE
21,29,2,4,1,FALSE
21,29,2,5,1,FALSE
21,29,2,8,1,FALSE
21,29,4,4,5,FALSE
21,29,4,8,1,FALSE
21,29,6,6,4,FALSE
21,29,7,7,1,FALSE
21,29,8,8,3,FALSE
21,30,2,2,34,FALSE
21,30,2,5,1,FALSE
21,30,4,4,1,FALSE
21,30,5,2,2,FALSE
21,30,5,8,1,FALSE
21,30,6,6,6,FALSE
21,30,7,6,1,FALSE
21,30,8,2,1,FALSE
21,30,8,7,1,FALSE
21,30,8,8,1,FALSE
21,31,2,2,40,FALSE
21,31,2,5,1,FALSE
21,31,3,8,1,FALSE
21,31,4,4,1,FALSE
21,31,5,2,1,FALSE
21,31,5,4,1,FALSE
21,31,6,2,1,FALSE
21,31,6,6,4,FALSE
21,32,2,2,20,FALSE
21,32,2,5,1,FALSE
21,32,2,6,1,FALSE
21,32,4,4,5,FALSE
21,32,4,6,1,FALSE
21,32,6,6,2,FALSE
21,33,2,2,12,FALSE
21,33,2,7,1,FALSE
21,33,4,2,2,FALSE
21,33,5,5,1,FALSE
21,33,6,6,3,FALSE
21,33,7,8,1,FALSE
21,34,2,2,11,FALSE
21,34,2,6,1,FALSE
21,34,2,7,1,FALSE
21,34,4,2,1,FALSE
21,34,4,4,1,FALSE
21,34,6,6,3,FALSE
21,34,8,8,2,FALSE
21,35,2,2,4,FALSE
21,35,4,4,4,FALSE
21,35,5,2,1,FALSE
21,35,8,6,1,FALSE
21,36,2,2,8,FALSE
21,36,2,4,1,FALSE
21,36,2,7,1,FALSE
21,36,4,4,1,FALSE
21,37,2,2,7,FALSE
21,37,7,7,1,FALSE
21,38,2,2,3,FALSE
21,38,6,2,1,FALSE
21,38,7,7,1,FALSE
21,39,2,2,8,FALSE
21,39,4,4,1,FALSE
21,39,5,6,1,FALSE
21,39,8,8,2,FALSE
21,40,2,2,8,FALSE
21,40,6,6,1,FALSE
21,40,7,7,2,FALSE
21,41,2,2,3,FALSE
21,41,4,2,2,FALSE
21,41,5,2,1,FALSE
21,41,6,6,1,FALSE
21,42,2,2,7,FALSE
21,42,4,2,1,FALSE
21,42,6,2,1,FALSE
21,43,2,2,5,FALSE
21,43,8,8,1,FALSE
21,44,2,2,4,FALSE
21,45,2,2,5,FALSE
21,46,2,2,5,FALSE
21,46,4,2,1,FALSE
21,47,2,2,2,FALSE
21,48,2,2,2,FALSE
21,49,2,2,3,FALSE
21,49,2,7,1,FALSE
21,49,6,2,1,FALSE
21,50,2,2,2,FALSE
21,51,2,2,4,FALSE
21,51,2,6,1,FALSE
21,52,2,2,7,FALSE
21,52,6,6,1,FALSE
21,53,2,2,2,FALSE
21,54,2,2,1,FALSE
21,55,2,2,3,FALSE
21,55,5,2,1,FALSE
21,56,2,2,1,FALSE
21,57,2,2,1,FALSE
21,58,2,2,2,FALSE
21,60,2,2,1,FALSE
21,62,2,2,1,FALSE
21,68,2,2,1,FALSE
21,70,2,2,1,FALSE
21,77,2,2,1,FALSE
21,77,4,4,1,FALSE
21,83,2,4,1,FALSE
21,86,2,2,1,FALSE
22,18,2,2,2,FALSE
22,19,2,2,11,FALSE
22,20,2,2,34,FALSE
22,20,2,4,1,FALSE
22,20,2,8,1,FALSE
22,20,4,2,2,FALSE
22,20,4,4,1,FALSE
22,20,5,2,1,FALSE
22,20,6,6,1,FALSE
22,21,2,2,90,FALSE
22,21,2,3,1,FALSE
22,21,2,5,1,FALSE
22,21,4,2,2,FALSE
22,21,4,4,2,FALSE
22,21,5,2,5,FALSE
22,21,6,7,1,FALSE
22,21,7,3,1,FALSE
22,21,8,5,1,FALSE
22,22,2,2,275,FALSE
22,22,2,4,3,FALSE
22,22,2,5,4,FALSE
22,22,2,6,3,FALSE
22,22,2,8,1,FALSE
22,22,3,2,2,FALSE
22,22,4,2,2,FALSE
22,22,4,4,11,FALSE
22,22,4,7,1,FALSE
22,22,5,2,1,FALSE
22,22,6,2,1,FALSE
22,22,6,6,10,FALSE
22,22,7,2,1,FALSE
22,22,7,7,1,FALSE
22,22,8,2,3,FALSE
22,22,8,6,1,FALSE
22,22,8,7,1,FALSE
22,22,8,8,3,FALSE
22,23,2,2,427,FALSE
22,23,2,3,2,FALSE
22,23,2,4,2,FALSE
22,23,2,5,3,FALSE
22,23,2,6,2,FALSE
22,23,2,8,1,FALSE
22,23,3,2,1,FALSE
22,23,4,2,13,FALSE
22,23,4,4,21,FALSE
22,23,4,5,1,FALSE
22,23,4,7,1,FALSE
22,23,4,8,1,FALSE
22,23,5,2,10,FALSE
22,23,5,5,4,FALSE
22,23,6,2,2,FALSE
22,23,6,5,2,FALSE
22,23,6,6,13,FALSE
22,23,7,2,1,FALSE
22,23,7,7,3,FALSE
22,23,8,6,1,FALSE
22,23,8,8,1,FALSE
22,24,2,2,344,FALSE
22,24,2,3,1,FALSE
22,24,2,4,6,FALSE
22,24,2,5,2,FALSE
22,24,2,6,2,FALSE
22,24,3,5,1,FALSE
22,24,4,2,7,FALSE
22,24,4,4,9,FALSE
22,24,4,6,1,FALSE
22,24,5,2,7,FALSE
22,24,5,8,1,FALSE
22,24,6,2,1,FALSE
22,24,6,6,7,FALSE
22,24,7,5,1,FALSE
22,24,7,6,2,FALSE
22,24,8,2,2,FALSE
22,24,8,8,2,FALSE
22,25,2,2,281,FALSE
22,25,2,4,4,FALSE
22,25,2,5,4,FALSE
22,25,3,2,1,FALSE
22,25,4,2,6,FALSE
22,25,4,4,14,FALSE
22,25,4,6,1,FALSE
22,25,5,2,5,FALSE
22,25,6,6,13,FALSE
22,25,7,2,1,FALSE
22,25,7,4,1,FALSE
22,25,7,6,1,FALSE
22,25,8,4,2,FALSE
22,25,8,8,1,FALSE
22,26,2,2,223,FALSE
22,26,2,3,1,FALSE
22,26,2,4,3,FALSE
22,26,2,5,1,FALSE
22,26,2,6,2,FALSE
22,26,2,7,2,FALSE
22,26,4,2,2,FALSE
22,26,4,4,12,FALSE
22,26,4,5,1,FALSE
22,26,4,6,1,FALSE
22,26,5,2,6,FALSE
22,26,5,5,3,FALSE
22,26,6,2,2,FALSE
22,26,6,4,1,FALSE
22,26,6,6,8,FALSE
22,26,7,5,1,FALSE
22,26,7,7,2,FALSE
22,26,8,2,1,FALSE
22,26,8,8,3,FALSE
22,27,2,2,168,FALSE
22,27,2,3,1,FALSE
22,27,2,4,2,FALSE
22,27,3,3,1,FALSE
22,27,4,2,1,FALSE
22,27,4,4,16,FALSE
22,27,4,6,1,FALSE
22,27,4,7,2,FALSE
22,27,5,2,4,FALSE
22,27,5,3,1,FALSE
22,27,6,2,1,FALSE
22,27,6,4,2,FALSE
22,27,6,6,20,FALSE
22,27,8,2,1,FALSE
22,27,8,5,1,FALSE
22,27,8,8,1,FALSE
22,28,2,2,164,FALSE
22,28,2,4,1,FALSE
22,28,2,5,2,FALSE
22,28,2,6,1,FALSE
22,28,2,7,1,FALSE
22,28,4,2,2,FALSE
22,28,4,4,13,FALSE
22,28,4,5,1,FALSE
22,28,5,2,3,FALSE
22,28,5,8,1,FALSE
22,28,6,2,1,FALSE
22,28,6,6,15,FALSE
22,28,8,4,1,FALSE
22,28,8,8,3,FALSE
22,29,2,2,112,FALSE
22,29,2,4,1,FALSE
22,29,2,5,3,FALSE
22,29,2,6,1,FALSE
22,29,2,7,3,FALSE
22,29,4,2,3,FALSE
22,29,4,4,14,FALSE
22,29,4,5,1,FALSE
22,29,4,8,2,FALSE
22,29,5,2,2,FALSE
22,29,5,5,1,FALSE
22,29,6,6,14,FALSE
22,29,7,5,1,FALSE
22,29,7,7,2,FALSE
22,29,8,8,1,FALSE
